dimension,data_type,algorithm,time_spent,trial_id
100,double,IJ,5.9e-05,0
100,double,JI,5.8e-05,0
100,float,IJ,3.8e-05,0
100,float,JI,3.9e-05,0
100,double,IJ,5.2e-05,1
100,double,JI,7.8e-05,1
100,float,IJ,3.8e-05,1
100,float,JI,4e-05,1
100,double,IJ,4.9e-05,2
100,double,JI,5.3e-05,2
100,float,IJ,3.7e-05,2
100,float,JI,4.1e-05,2
100,double,IJ,4.9e-05,3
100,double,JI,5.2e-05,3
100,float,IJ,5.2e-05,3
100,float,JI,3.9e-05,3
100,double,IJ,5.2e-05,4
100,double,JI,5.3e-05,4
100,float,IJ,3.7e-05,4
100,float,JI,4e-05,4
200,double,IJ,0.000209,0
200,double,JI,0.000234,0
200,float,IJ,0.000152,0
200,float,JI,0.000186,0
200,double,IJ,0.000211,1
200,double,JI,0.000247,1
200,float,IJ,0.000151,1
200,float,JI,0.000186,1
200,double,IJ,0.000203,2
200,double,JI,0.000236,2
200,float,IJ,0.000155,2
200,float,JI,0.000184,2
200,double,IJ,0.0002,3
200,double,JI,0.000235,3
200,float,IJ,0.000159,3
200,float,JI,0.000183,3
200,double,IJ,0.000202,4
200,double,JI,0.000233,4
200,float,IJ,0.000157,4
200,float,JI,0.000183,4
400,double,IJ,0.000834,0
400,double,JI,0.001329,0
400,float,IJ,0.000622,0
400,float,JI,0.000797,0
400,double,IJ,0.000836,1
400,double,JI,0.00134,1
400,float,IJ,0.000655,1
400,float,JI,0.000829,1
400,double,IJ,0.000833,2
400,double,JI,0.001295,2
400,float,IJ,0.000674,2
400,float,JI,0.000799,2
400,double,IJ,0.000835,3
400,double,JI,0.001329,3
400,float,IJ,0.00065,3
400,float,JI,0.000839,3
400,double,IJ,0.00085,4
400,double,JI,0.001343,4
400,float,IJ,0.000658,4
400,float,JI,0.000871,4
500,double,IJ,0.001285,0
500,double,JI,0.002513,0
500,float,IJ,0.001063,0
500,float,JI,0.001424,0
500,double,IJ,0.001467,1
500,double,JI,0.002949,1
500,float,IJ,0.000986,1
500,float,JI,0.001499,1
500,double,IJ,0.001307,2
500,double,JI,0.002517,2
500,float,IJ,0.001005,2
500,float,JI,0.001511,2
500,double,IJ,0.001312,3
500,double,JI,0.002427,3
500,float,IJ,0.001286,3
500,float,JI,0.001535,3
500,double,IJ,0.001277,4
500,double,JI,0.002484,4
500,float,IJ,0.001,4
500,float,JI,0.001599,4
800,double,IJ,0.003645,0
800,double,JI,0.010495,0
800,float,IJ,0.002584,0
800,float,JI,0.00678,0
800,double,IJ,0.003497,1
800,double,JI,0.010929,1
800,float,IJ,0.002777,1
800,float,JI,0.008399,1
800,double,IJ,0.00437,2
800,double,JI,0.010402,2
800,float,IJ,0.002603,2
800,float,JI,0.00699,2
800,double,IJ,0.003296,3
800,double,JI,0.009612,3
800,float,IJ,0.002526,3
800,float,JI,0.006654,3
800,double,IJ,0.003963,4
800,double,JI,0.012038,4
800,float,IJ,0.002996,4
800,float,JI,0.007497,4
1000,double,IJ,0.007545,0
1000,double,JI,0.018474,0
1000,float,IJ,0.003955,0
1000,float,JI,0.013057,0
1000,double,IJ,0.005829,1
1000,double,JI,0.01857,1
1000,float,IJ,0.004264,1
1000,float,JI,0.013377,1
1000,double,IJ,0.006663,2
1000,double,JI,0.018337,2
1000,float,IJ,0.006521,2
1000,float,JI,0.013728,2
1000,double,IJ,0.005479,3
1000,double,JI,0.018201,3
1000,float,IJ,0.004522,3
1000,float,JI,0.016,3
1000,double,IJ,0.005661,4
1000,double,JI,0.019312,4
1000,float,IJ,0.00558,4
1000,float,JI,0.014039,4
2000,double,IJ,0.027564,0
2000,double,JI,0.095377,0
2000,float,IJ,0.018098,0
2000,float,JI,0.063806,0
2000,double,IJ,0.020876,1
2000,double,JI,0.072468,1
2000,float,IJ,0.019167,1
2000,float,JI,0.061466,1
2000,double,IJ,0.024623,2
2000,double,JI,0.098685,2
2000,float,IJ,0.020424,2
2000,float,JI,0.065423,2
2000,double,IJ,0.023273,3
2000,double,JI,0.074093,3
2000,float,IJ,0.016052,3
2000,float,JI,0.055813,3
2000,double,IJ,0.116493,4
2000,double,JI,0.319393,4
2000,float,IJ,0.016016,4
2000,float,JI,0.056141,4
